Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-01-02 00:00:00-05:00,5.96875,5.9977498054504395,5.918000221252441,5.9977498054504395,237536000,0.0,0.0
2020-01-03 00:00:00-05:00,5.877500057220459,5.9457502365112305,5.852499961853027,5.901750087738037,205384000,0.0,0.0
2020-01-06 00:00:00-05:00,5.808000087738037,5.9317498207092285,5.781750202178955,5.926499843597412,262636000,0.0,0.0
2020-01-07 00:00:00-05:00,5.954999923706055,6.044250011444092,5.909749984741211,5.9982500076293945,314856000,0.0,0.0
2020-01-08 00:00:00-05:00,5.99399995803833,6.051000118255615,5.953750133514404,6.009500026702881,277108000,0.0,0.0
2020-01-09 00:00:00-05:00,6.096250057220459,6.148250102996826,6.021500110626221,6.075500011444092,255112000,0.0,0.0
2020-01-10 00:00:00-05:00,6.1832499504089355,6.213749885559082,6.09375,6.107999801635742,316296000,0.0,0.0
2020-01-13 00:00:00-05:00,6.191500186920166,6.324749946594238,6.168749809265137,6.299499988555908,319840000,0.0,0.0
2020-01-14 00:00:00-05:00,6.256499767303467,6.2820000648498535,6.168749809265137,6.182000160217285,359088000,0.0,0.0
2020-01-15 00:00:00-05:00,6.19474983215332,6.217249870300293,6.113249778747559,6.139249801635742,263104000,0.0,0.0
2020-01-16 00:00:00-05:00,6.192999839782715,6.229249954223633,6.16949987411499,6.223249912261963,284192000,0.0,0.0
2020-01-17 00:00:00-05:00,6.242499828338623,6.25,6.1842498779296875,6.23199987411499,253792000,0.0,0.0
2020-01-21 00:00:00-05:00,6.195250034332275,6.232250213623047,6.164249897003174,6.198500156402588,217916000,0.0,0.0
2020-01-22 00:00:00-05:00,6.24399995803833,6.339749813079834,6.224999904632568,6.252749919891357,239240000,0.0,0.0
2020-01-23 00:00:00-05:00,6.293000221252441,6.329999923706055,6.203750133514404,6.321499824523926,244516000,0.0,0.0
2020-01-24 00:00:00-05:00,6.4375,6.487500190734863,6.207499980926514,6.26200008392334,373512000,0.0,0.0
2020-01-27 00:00:00-05:00,5.955999851226807,6.056250095367432,5.805749893188477,6.005000114440918,470536000,0.0,0.0
2020-01-28 00:00:00-05:00,6.071249961853027,6.231750011444092,6.017749786376953,6.199250221252441,310976000,0.0,0.0
2020-01-29 00:00:00-05:00,6.184750080108643,6.2210001945495605,6.098499774932861,6.138500213623047,258848000,0.0,0.0
2020-01-30 00:00:00-05:00,6.040249824523926,6.158750057220459,5.985000133514404,6.145249843597412,290504000,0.0,0.0
